"SiteCode";"MN";"k";"p";"n_SAD.N.ref";"n_SAD.ref";"S.MN_mean";"U_med";"Ntotal";"Stotal";"DA";"d";"m_";"theta";"U_var";"S.MN_var";"p.value_mean";"p.value_var";"D_mean";"D_var";"S.obs_mean";"S.obs_var";"k.0"
"RScach2";"EI";0.2;0.104200232371204;97;3;40.51;0.006431249;1904;48;1904;4.88219727184048;0.00371203167419201;4623.1174293363;4.24138403877777e-08;28.9392929292929;0.51303986857476;0.0842417126296778;0.182450102477348;0.00289670195219309;48;0;0.2
"RScach2";"EE";0.15;0.104200232371204;35;65;47.38;0.006781473;1904;48;1904;5.92205273204578;0.00453346803802194;4876.59567467181;9.47711803788888e-08;42.7834343434344;0.0601829833583841;0.00829329225242973;0.30734233624858;0.00358192918031093;48;0;0.15
"RScach2";"EI";0.15;0.104200232371204;95;5;47.78;0.006781473;1904;48;1904;5.92205273204578;0.00453346803802194;4876.59567467181;9.47711803788888e-08;33.5672727272727;0.5845478811564;0.0681593328233326;0.163431210746859;0.00230846243723304;48;0;0.15
"RScach2";"EE";0.0999999999999999;0.104200232371204;33;67;47.69;0.007163507;1904;48;1904;7.61238537303764;0.00589301227405354;5153.30066776351;8.86608675666666e-09;45.2059595959596;0.0514531967855228;0.0083156815589218;0.313333033344165;0.00388785304380986;48;0;0.0999999999999999
"RScach2";"EI";0.0999999999999999;0.104200232371204;100;0;57.74;0.007163507;1904;48;1904;7.61238537303764;0.00589301227405354;5153.30066776351;8.86608675666666e-09;37.4064646464646;0.575922308172162;0.0685297546820311;0.153945280795055;0.00145191551496205;48;0;0.0999999999999999
"RScach2";"EE";0.05;0.104200232371204;30;70;48.98;0.007536204;1904;48;1904;11.4825059887477;0.00912396387190522;5423.44820716185;3.90560019155556e-08;38.9692929292929;0.0590373915190197;0.0102823451904486;0.313646803101778;0.00418440722153597;48;0;0.05
"RScach2";"EI";0.05;0.104200232371204;100;0;83.35;0.007536204;1904;48;1904;11.4825059887477;0.00912396387190522;5423.44820716185;3.90560019155556e-08;56.1489898989899;0.561598869790951;0.0699757425198832;0.144718519114735;0.00128473544304319;48;0;0.05
"MSdour";"EE";0.99;0.116720300348619;0;100;126.04;0.00669163;1046;124;1046;0.795442935415248;0.000659786512393954;2960.92507666198;1.35863511511111e-07;86.9478787878788;3.55845991352188e-07;5.5067004438748e-14;0.354838709677419;0;124;0;0.99
"MSdour";"EI";0.99;0.116720300348619;43;57;5.58;0.00669163;1046;124;1046;0.795442935415248;0.000659786512393954;2960.92507666198;1.35863511511111e-07;3.51878787878788;0.125213871730504;0.0299733301216598;0.623450588837686;0.034510367097547;124;0;0.99
"MSdour";"EE";0.95;0.116720300348619;0;100;124.37;0.006632315;1046;124;1046;1.1226622199026;0.000933117724485806;2934.50403077218;6.35712419388889e-08;102.881919191919;4.08117636701011e-07;8.37480406790703e-14;0.354838709677419;0;124;0;0.95
"MSdour";"EI";0.95;0.116720300348619;40;60;7.4;0.006632315;1046;124;1046;1.1226622199026;0.000933117724485806;2934.50403077218;6.35712419388889e-08;6.3030303030303;0.0914915994063379;0.0201174368187451;0.564104943443653;0.0223412473597801;124;0;0.95
"MSdour";"EE";0.9;0.116720300348619;0;100;123.27;0.006528062;1046;124;1046;1.37614633556287;0.00114563145409764;2888.07362037079;5.42794128844445e-08;55.1081818181819;3.91115777795825e-07;3.41614093594873e-14;0.354838709677419;0;124;0;0.9
"MSdour";"EI";0.9;0.116720300348619;40;60;9.05;0.006528062;1046;124;1046;1.37614633556287;0.00114563145409764;2888.07362037079;5.42794128844445e-08;7.48232323232324;0.0759829827507511;0.0104822987526829;0.521417161533385;0.0177920915812662;124;0;0.9
"MSdour";"EE";0.85;0.116720300348619;0;100;122.63;0.01740281;1046;124;1046;1.59497452983092;0.0013296373028221;7784.36971713712;3.27427023222222e-07;71.7506060606061;4.30772970684279e-07;8.25915028195127e-14;0.354838709677419;0;124;0;0.85
"MSdour";"EI";0.85;0.116720300348619;33;67;9.6;0.01740281;1046;124;1046;1.59497452983092;0.0013296373028221;7784.36971713712;3.27427023222222e-07;10.0606060606061;0.054467057602519;0.00685951508607423;0.527142284733753;0.0146885226318685;124;0;0.85
"MSdour";"EE";0.8;0.116720300348619;0;100;125.94;0.01831641;1046;124;1046;1.80376038543588;0.00150567308580098;8200.65267849717;4.86308398777777e-07;65.2892929292929;3.36783136513086e-07;2.93479811032049e-14;0.354838709677419;0;124;0;0.8
"MSdour";"EI";0.8;0.116720300348619;30;70;10.7;0.01831641;1046;124;1046;1.80376038543588;0.00150567308580098;8200.65267849717;4.86308398777777e-07;8.47474747474747;0.0461310733183932;0.0049453496419103;0.508935635390332;0.0109864922537474;124;0;0.8
"MSdour";"EE";0.75;0.116720300348619;0;100;126.4;0.01809766;1046;124;1046;2.00816208905582;0.00167846281125382;8100.9084377124;1.087641016e-06;81.1313131313131;3.43843968586555e-07;4.84148904387723e-14;0.354838709677419;0;124;0;0.75
"MSdour";"EI";0.75;0.116720300348619;34;66;12.27;0.01809766;1046;124;1046;2.00816208905582;0.00167846281125382;8100.9084377124;1.087641016e-06;11.0677777777778;0.0467571800607088;0.00401220122212925;0.4841179938732;0.0130747612627039;124;0;0.75
"MSdour";"EE";0.7;0.116720300348619;0;100;127.31;0.01842245;1046;124;1046;2.21132276756621;0.00185064673625577;8249.02012549693;7.50068211666667e-07;75.1453535353536;3.16398010801189e-07;3.18588172437804e-14;0.354838709677419;0;124;0;0.7
"MSdour";"EI";0.7;0.116720300348619;22;78;12.69;0.01842245;1046;124;1046;2.21132276756621;0.00185064673625577;8249.02012549693;7.50068211666667e-07;9.63020202020201;0.033239539684584;0.00322640781118883;0.496416169265503;0.0128793445120543;124;0;0.7
"MSdour";"EE";0.65;0.116720300348619;0;100;125.51;0.01786781;1046;124;1046;2.43082258212736;0.00203717716314627;7996.15076028784;4.15740503222222e-07;72.7574747474748;3.5372376993803e-07;4.4066002627765e-14;0.354838709677419;0;124;0;0.65
"MSdour";"EI";0.65;0.116720300348619;16;84;13.86;0.01786781;1046;124;1046;2.43082258212736;0.00203717716314627;7996.15076028784;4.15740503222222e-07;13.5761616161616;0.0305990286706073;0.00236198748007788;0.474434517061828;0.0097991502149369;124;0;0.65
"MSdour";"EE";0.6;0.116720300348619;0;100;123.14;0.01741715;1046;124;1046;2.68632738610623;0.00225495970058287;7790.89777578486;2.34830807222222e-07;63.919595959596;4.07101632118323e-07;5.4554314232852e-14;0.354838709677419;0;124;0;0.6
"MSdour";"EI";0.6;0.116720300348619;24;76;15.08;0.01741715;1046;124;1046;2.68632738610623;0.00225495970058287;7790.89777578486;2.34830807222222e-07;13.0036363636364;0.0306669900434924;0.00109317986737312;0.441513065693032;0.00750980441072875;124;0;0.6
"MSdour";"EE";0.55;0.116720300348619;0;100;125.86;0.01646767;1046;124;1046;2.94910713705167;0.00247968177958018;7359.07296168595;7.98306704555556e-07;64.3236363636364;3.39131687074889e-07;3.15358083963709e-14;0.354838709677419;0;124;0;0.55
"MSdour";"EI";0.55;0.116720300348619;15;85;16.25;0.01646767;1046;124;1046;2.94910713705167;0.00247968177958018;7359.07296168595;7.98306704555556e-07;15.5631313131313;0.0223551424985287;0.000685658954681207;0.444758350922565;0.00833035179200107;124;0;0.55
"MSdour";"EE";0.5;0.116720300348619;0;100;122.77;0.01581311;1046;124;1046;3.22479285179166;0.00271624986803591;7061.86335718253;5.71141298777777e-07;88.6233333333333;4.40575528515286e-07;8.95774265724995e-14;0.354838709677419;0;124;0;0.5
"MSdour";"EI";0.5;0.116720300348619;8;92;17.98;0.01581311;1046;124;1046;3.22479285179166;0.00271624986803591;7061.86335718253;5.71141298777777e-07;16.080404040404;0.0167294529381752;0.000496762727860501;0.44920502149617;0.00839785037122584;124;0;0.5
"MSdour";"EE";0.45;0.116720300348619;0;100;122.3;0.01562319;1046;124;1046;3.58630725547759;0.00302773112063984;6975.70223522317;6.42149569888889e-07;86.4343434343434;4.45856830919578e-07;8.5988461418647e-14;0.354838709677419;0;124;0;0.45
"MSdour";"EI";0.45;0.116720300348619;7;93;18.96;0.01562319;1046;124;1046;3.58630725547759;0.00302773112063984;6975.70223522317;6.42149569888889e-07;13.6549494949495;0.0180447033790077;0.00043433835693464;0.414497680060435;0.00515912306228036;124;0;0.45
"MSdour";"EE";0.4;0.116720300348619;0;100;122.16;0.01561786;1046;124;1046;3.94418345878532;0.00333749812479277;6973.28465049773;2.55252748044444e-06;93.549898989899;4.62880936008547e-07;9.73475617171039e-14;0.354838709677419;0;124;0;0.4
