"","SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file"
"128","BAuruc",0.769444718591026,1784,230,1784,0.95,"2oT","laplace","2",2.36756861905189,0.854924429362616,"ref1425_BA_2296.txt"
"129","SPcara3",0.773104012947153,1674,130,1674,0.95,"2oT","laplace","2",2.44411858368922,0.882172561223775,"ref1124_SP_1704.txt"
"130","MGperd1",0.806018045548929,2965,127,2470.83333333333,0.95,"2oT","laplace","2",2.01176975271592,0.729652856450778,"ref2564_MG_3870.txt"
"131","SPcara1",0.850156308651023,2127,171,2127,0.95,"2oT","laplace","2",2.16828444900803,0.790538722164774,"ref1124_SP_1703.txt"
"132","BAjuss",0.859421049020215,1198,182,1198,0.95,"2oT","laplace","2",2.88915998328494,1.05127601092581,"ref1426_BA_2297.txt"
"133","SCilho2",0.884932951426624,1738,157,1738,0.95,"3oT","laplace","2",2.39869546440458,0.871848776700492,"ref847_SC_1271.txt"
"134","PRanto5",0.896644888231427,1753,124,1753,0.95,"3oT","laplace","2",2.38841088596216,0.872944183808772,"ref2714_PR_4207.txt"
"135","SCilho",0.899939351991448,1169,135,1169,0.95,"3oT","laplace","2",2.92477690287062,1.05920564341024,"ref842_SC_1266.txt"
"136","PRanto6",0.906465210449369,1665,128,1665,0.95,"3oT","laplace","2",2.45071540697936,0.890081742483275,"ref2714_PR_4208.txt"
"137","PRanto4",0.9079979592893,1896,119,1896,0.95,"3oT","laplace","2",2.29657606087313,0.832072344139422,"ref2714_PR_4206.txt"
"138","SCtimbe1",0.915684800663396,3148,142,3148,0.95,"3oT","laplace","2",1.7823075144988,0.646300521150179,"ref873_SC_1327.txt"
"139","SCvolta2",0.916842703142202,2059,78,2059,0.95,"3oT","laplace","2",2.2037982136063,0.79981365773156,"ref870_SC_1324.txt"
"140","PRanto11",0.921209867560648,1740,99,1740,0.95,"3oT","laplace","2",2.39731650742692,0.868906407139546,"ref2714_PR_4213.txt"
"141","PRanto10",0.923024383580357,1877,132,1877,0.95,"3oT","laplace","2",2.30817038065365,0.84007102345898,"ref2714_PR_4212.txt"
"142","PRanto9",0.928261175571598,1594,134,1594,0.95,"3oT","laplace","2",2.50470072492812,0.908757251961194,"ref2714_PR_4211.txt"
"143","RSrioz1",0.92867367679881,1205,76,1205,0.95,"3oT","laplace","2",2.88075600957839,1.04583397135039,"ref658_RS_1018.txt"
"144","PRanto15",0.942009596537872,1650,140,1650,0.95,"3oT","laplace","2",2.46182981958665,0.897233161813066,"ref2714_PR_4217.txt"
"145","PRanto8",0.955077166221669,1504,134,1504,0.95,"3oT","laplace","2",2.57855311564698,0.939447202673685,"ref2714_PR_4210.txt"
"146","PRanto13",0.968871050376109,1673,127,1673,0.95,"3oT","laplace","2",2.4448489343954,0.887349674480804,"ref2714_PR_4215.txt"
"147","SPpei1",0.969241860061788,3060,165,1545.45454545455,0.95,"3oT","laplace","2",2.54373509534584,0.923901515512908,"ref893_SP_1356.txt"
