"SiteCode"	"kernel_percentil"	"p"	"S.obs"	"DA"	"N"	"pSAD"	"U"	"theta"	"m"
"PRanto13"	"0.5"	0.968871050376109	127	1673	1673	100	0.008726958	NA	NA
"PRanto13"	"0.55"	0.968871050376109	127	1673	1673	100	0.008950944	NA	NA
"PRanto13"	"0.6"	0.968871050376109	127	1673	1673	100	0.009975812	NA	NA
"PRanto13"	"0.65"	0.968871050376109	127	1673	1673	100	0.01026216	NA	NA
"PRanto13"	"0.7"	0.968871050376109	127	1673	1673	99	0.01003788	NA	NA
"PRanto13"	"0.75"	0.968871050376109	127	1673	1673	100	0.009689195	NA	NA
"PRanto13"	"0.8"	0.968871050376109	127	1673	1673	97	0.009834322	NA	NA
"PRanto13"	"0.85"	0.968871050376109	127	1673	1673	100	0.009664668	NA	NA
"PRanto13"	"0.9"	0.968871050376109	127	1673	1673	99	0.009709532	NA	NA
"PRanto13"	"0.95"	0.968871050376109	127	1673	1673	100	0.009725661	NA	NA
"PRanto13"	"0.99"	0.968871050376109	127	1673	1673	100	0.004797642	NA	NA
"PRanto13"	"campo_medio"	0.968871050376109	127	1673	1673	100	NA	33.4566861875354	0.760202359098148
"PRanto15"	"0.25"	0.942009596537872	140	1650	1650	100	0.0086422	NA	NA
"PRanto15"	"0.5"	0.942009596537872	140	1650	1650	100	0.010651554	NA	NA
"PRanto15"	"0.55"	0.942009596537872	140	1650	1650	100	0.010278014	NA	NA
"PRanto15"	"0.6"	0.942009596537872	140	1650	1650	100	0.0111397	NA	NA
"PRanto15"	"0.65"	0.942009596537872	140	1650	1650	100	0.01132824	NA	NA
"PRanto15"	"0.7"	0.942009596537872	140	1650	1650	100	0.01239154	NA	NA
"PRanto15"	"0.75"	0.942009596537872	140	1650	1650	100	0.01148838	NA	NA
"PRanto15"	"0.8"	0.942009596537872	140	1650	1650	100	0.01097718	NA	NA
"PRanto15"	"0.85"	0.942009596537872	140	1650	1650	100	0.01205221	NA	NA
"PRanto15"	"0.9"	0.942009596537872	140	1650	1650	100	0.01124987	NA	NA
"PRanto15"	"0.95"	0.942009596537872	140	1650	1650	100	0.01122012	NA	NA
"PRanto15"	"0.99"	0.942009596537872	140	1650	1650	100	0.006237899	NA	NA
"PRanto15"	"campo_medio"	0.942009596537872	140	1650	1650	100	NA	42.4511485939437	0.469566333685894
"PRanto4"	"0.25"	0.9079979592893	119	1896	1896	100	0.006555708	NA	NA
"PRanto4"	"0.5"	0.9079979592893	119	1896	1896	100	0.006510852	NA	NA
"PRanto4"	"0.55"	0.9079979592893	119	1896	1896	100	0.006602104	NA	NA
"PRanto4"	"0.6"	0.9079979592893	119	1896	1896	100	0.007556861	NA	NA
"PRanto4"	"0.65"	0.9079979592893	119	1896	1896	100	0.007173827	NA	NA
"PRanto4"	"0.7"	0.9079979592893	119	1896	1896	100	0.007090239	NA	NA
"PRanto4"	"0.75"	0.9079979592893	119	1896	1896	100	0.007218883	NA	NA
"PRanto4"	"0.8"	0.9079979592893	119	1896	1896	100	0.007262825	NA	NA
"PRanto4"	"0.85"	0.9079979592893	119	1896	1896	100	0.007376885	NA	NA
"PRanto4"	"0.9"	0.9079979592893	119	1896	1896	100	0.007445128	NA	NA
"PRanto4"	"0.95"	0.9079979592893	119	1896	1896	100	0.007481737	NA	NA
"PRanto4"	"0.99"	0.9079979592893	119	1896	1896	100	0.003787662	NA	NA
"PRanto4"	"campo_medio"	0.9079979592893	119	1896	1896	100	NA	35.2911516991292	0.307475622411269
"PRanto5"	"0.25"	0.896644888231427	124	1753	1753	97	0.007318739	NA	NA
"PRanto5"	"0.5"	0.896644888231427	124	1753	1753	91	0.007623526	NA	NA
"PRanto5"	"0.55"	0.896644888231427	124	1753	1753	98	0.007999216	NA	NA
"PRanto5"	"0.6"	0.896644888231427	124	1753	1753	91	0.00879178	NA	NA
"PRanto5"	"0.65"	0.896644888231427	124	1753	1753	95	0.009124064	NA	NA
"PRanto5"	"0.7"	0.896644888231427	124	1753	1753	91	0.008613605	NA	NA
