sp,N,MeanDA,SiteCode,ha
Geissospermum laeve,4,3.555555556,ESpedro1,1.125
Goniorrhachis marginata,3,2.666666667,ESpedro1,1.125
Guapira opposita,79,70.22222222,ESpedro1,1.125
Guarea macrophylla,12,10.66666667,ESpedro1,1.125
Guatteria aff. sellowiana,8,7.111111111,ESpedro1,1.125
Guettarda angelica,1,0.888888889,ESpedro1,1.125
Handroanthus riodocensis,2,1.777777778,ESpedro1,1.125
Helicostylis tomentosa,66,58.66666667,ESpedro1,1.125
Himatanthus bracteatus,1,0.888888889,ESpedro1,1.125
Hirtella insignis,4,3.555555556,ESpedro1,1.125
Hortia brasiliana,3,2.666666667,ESpedro1,1.125
Hydrogaster trinervis,42,37.33333333,ESpedro1,1.125
Indet. sp. (individuo112),2,1.777777778,ESpedro1,1.125
Indet. sp. (individuo14),1,0.888888889,ESpedro1,1.125
Indet. sp. (individuo2064),1,0.888888889,ESpedro1,1.125
Indet. sp. (individuo337),1,0.888888889,ESpedro1,1.125
Indet. sp. (individuo348),3,2.666666667,ESpedro1,1.125
Indet. sp. (individuo373),1,0.888888889,ESpedro1,1.125
Indet. sp. (individuo380),1,0.888888889,ESpedro1,1.125
Indet. sp. (individuo4067),2,1.777777778,ESpedro1,1.125
Indet. sp. (individuo48),3,2.666666667,ESpedro1,1.125
Indet. sp. (individuo609),1,0.888888889,ESpedro1,1.125
Indet. sp. (individuo610),3,2.666666667,ESpedro1,1.125
Inga capitata,2,1.777777778,ESpedro1,1.125
Inga flagelliformis,1,0.888888889,ESpedro1,1.125
Inga marginata,1,0.888888889,ESpedro1,1.125
Inga subnuda,1,0.888888889,ESpedro1,1.125
Inga thibaudiana,34,30.22222222,ESpedro1,1.125
Jacaranda puberula,5,4.444444444,ESpedro1,1.125
Jacaratia heptaphylla,7,6.222222222,ESpedro1,1.125
Joannesia princeps,34,30.22222222,ESpedro1,1.125
Kielmeyera albopunctata,7,6.222222222,ESpedro1,1.125
Lacunaria crenata,3,2.666666667,ESpedro1,1.125
Lecythis lanceolata,3,2.666666667,ESpedro1,1.125
Lecythis lurida,7,6.222222222,ESpedro1,1.125
Licania arianeae,2,1.777777778,ESpedro1,1.125
Licania kunthiana,1,0.888888889,ESpedro1,1.125
Licania salzmannii,4,3.555555556,ESpedro1,1.125
Licaria sp.,9,8,ESpedro1,1.125
Luehea divaricata,1,0.888888889,ESpedro1,1.125
Machaerium fulvovenosum,8,7.111111111,ESpedro1,1.125
Machaerium ovalifolium,3,2.666666667,ESpedro1,1.125
Macrolobium latifolium,24,21.33333333,ESpedro1,1.125
Macrothumia kuhlmannii,1,0.888888889,ESpedro1,1.125
Manilkara bella,19,16.88888889,ESpedro1,1.125
Manilkara salzmannii,3,2.666666667,ESpedro1,1.125
Marlierea glabra,8,7.111111111,ESpedro1,1.125
Marlierea involucrata,3,2.666666667,ESpedro1,1.125
Marlierea obscura,10,8.888888889,ESpedro1,1.125
Marlierea sucrei,4,3.555555556,ESpedro1,1.125
Matayba sp.,1,0.888888889,ESpedro1,1.125
Melanoxylon brauna,8,7.111111111,ESpedro1,1.125
Miconia rimalis,1,0.888888889,ESpedro1,1.125
Miconia lepidota,3,2.666666667,ESpedro1,1.125
Micrandra elata,17,15.11111111,ESpedro1,1.125
Micropholis crassipedicellata,14,12.44444444,ESpedro1,1.125
Mouriri arborea,1,0.888888889,ESpedro1,1.125
Mouriri glazioviana,3,2.666666667,ESpedro1,1.125
Myrcia isaiana,4,3.555555556,ESpedro1,1.125
Myrcia lineata,12,10.66666667,ESpedro1,1.125
Myrciaria sp.,1,0.888888889,ESpedro1,1.125
Myrtaceae sp.1,2,1.777777778,ESpedro1,1.125
Myrtaceae sp.10,1,0.888888889,ESpedro1,1.125
Myrtaceae sp.11,1,0.888888889,ESpedro1,1.125
Myrtaceae sp.12,2,1.777777778,ESpedro1,1.125
Myrtaceae sp.13,1,0.888888889,ESpedro1,1.125
Myrtaceae sp.3,1,0.888888889,ESpedro1,1.125
Myrtaceae sp.4,1,0.888888889,ESpedro1,1.125
Myrtaceae sp.5,3,2.666666667,ESpedro1,1.125
Myrtaceae sp.6,3,2.666666667,ESpedro1,1.125
Myrtaceae sp.7,1,0.888888889,ESpedro1,1.125
Myrtaceae sp.8,1,0.888888889,ESpedro1,1.125
Myrtaceae sp.9,1,0.888888889,ESpedro1,1.125
Naucleopsis oblongifolia,2,1.777777778,ESpedro1,1.125
Neomitranthes sctictophylla,4,3.555555556,ESpedro1,1.125
Neoraputia alba,6,5.333333333,ESpedro1,1.125
Neoraputia magnifica,2,1.777777778,ESpedro1,1.125
Ocotea aciphylla,1,0.888888889,ESpedro1,1.125
Ocotea aff. teleiandra,5,4.444444444,ESpedro1,1.125
Ocotea argentea,1,0.888888889,ESpedro1,1.125
Ocotea confertiflora,10,8.888888889,ESpedro1,1.125
Ocotea divaricata,1,0.888888889,ESpedro1,1.125
Ocotea elegans,3,2.666666667,ESpedro1,1.125
Ocotea odorifera,8,7.111111111,ESpedro1,1.125
Ocotea velutina,1,0.888888889,ESpedro1,1.125
Ormosia nitida,2,1.777777778,ESpedro1,1.125
Oxandra nitida,31,27.55555556,ESpedro1,1.125
Pachira endecaphylla,8,7.111111111,ESpedro1,1.125
Parinari excelsa,4,3.555555556,ESpedro1,1.125
Pausandra morisiana,24,21.33333333,ESpedro1,1.125
Paypayrola blanchetiana,4,3.555555556,ESpedro1,1.125
Pera glabrata,2,1.777777778,ESpedro1,1.125
Pera heteranthera,4,3.555555556,ESpedro1,1.125
Plinia involucrata,4,3.555555556,ESpedro1,1.125
Pogonophora schomburgkiana,3,2.666666667,ESpedro1,1.125
Posoqueria latifolia,4,3.555555556,ESpedro1,1.125
Pourouma guianensis,15,13.33333333,ESpedro1,1.125
Pourouma velutina,7,6.222222222,ESpedro1,1.125
Pouteria aff. filipes,1,0.888888889,ESpedro1,1.125
Pouteria aff. hispida,9,8,ESpedro1,1.125
Pouteria bangii,18,16,ESpedro1,1.125
Pouteria bullata,4,3.555555556,ESpedro1,1.125
Pouteria coelomatica,7,6.222222222,ESpedro1,1.125
Pouteria cuspidata,2,1.777777778,ESpedro1,1.125
Pouteria macrostachiosa,7,6.222222222,ESpedro1,1.125
Pouteria sp.,8,7.111111111,ESpedro1,1.125
Pouteria sp.1,1,0.888888889,ESpedro1,1.125
Pouteria sp.2,1,0.888888889,ESpedro1,1.125
Pouteria sp.3,1,0.888888889,ESpedro1,1.125
Pradosia lactescens,5,4.444444444,ESpedro1,1.125
Protium aracouchini,82,72.88888889,ESpedro1,1.125
Protium heptaphyllum,3,2.666666667,ESpedro1,1.125
Protium sp.,1,0.888888889,ESpedro1,1.125
Protium warmingianum,19,16.88888889,ESpedro1,1.125
Prunus myrtifolia,1,0.888888889,ESpedro1,1.125
Pseudima frutescens,5,4.444444444,ESpedro1,1.125
Pseudopiptadenia contorta,3,2.666666667,ESpedro1,1.125
Psychotria carthagenensis,8,7.111111111,ESpedro1,1.125
Pterocarpus rohrii,17,15.11111111,ESpedro1,1.125
Qualea multiflora,1,0.888888889,ESpedro1,1.125
Quararibea penduliflora,5,4.444444444,ESpedro1,1.125
Rauvolfia mattfeldiana,1,0.888888889,ESpedro1,1.125
Rinorea bahiensis,83,73.77777778,ESpedro1,1.125
Roupala sp.,1,0.888888889,ESpedro1,1.125
Rubiaceae sp.1,1,0.888888889,ESpedro1,1.125
Sapium sp.,5,4.444444444,ESpedro1,1.125
Schefflera morototoni,9,8,ESpedro1,1.125
Schoepfia brasiliensis,35,31.11111111,ESpedro1,1.125
Senegalia polyphylla,1,0.888888889,ESpedro1,1.125
Senna multijuga,3,2.666666667,ESpedro1,1.125
Simarouba amara,9,8,ESpedro1,1.125
Simira glaziovii,2,1.777777778,ESpedro1,1.125
Siparuna guianensis,4,3.555555556,ESpedro1,1.125
Siparuna reginae,32,28.44444444,ESpedro1,1.125
Sloanea obtusifolia,12,10.66666667,ESpedro1,1.125
Sloanea sp.2,1,0.888888889,ESpedro1,1.125
Solanum alatirameum,17,15.11111111,ESpedro1,1.125
Solanum pseudoquina,9,8,ESpedro1,1.125
Sorocea guilleminiana,29,25.77777778,ESpedro1,1.125
Sorocea sp.,1,0.888888889,ESpedro1,1.125
Sparattosperma leucanthum,1,0.888888889,ESpedro1,1.125
Sterculia curiosa,72,64,ESpedro1,1.125
Swartzia apetala,2,1.777777778,ESpedro1,1.125
Swartzia acutifolia,1,0.888888889,ESpedro1,1.125
Sweetia fruticosa,1,0.888888889,ESpedro1,1.125
Tabebuia obtusifolia,16,14.22222222,ESpedro1,1.125
Tabebuia roseoalba,1,0.888888889,ESpedro1,1.125
Tabernaemontana salzmannii,24,21.33333333,ESpedro1,1.125
Tapirira sp.,4,3.555555556,ESpedro1,1.125
Thyrsodium spruceanum,29,25.77777778,ESpedro1,1.125
Trichilia catigua,3,2.666666667,ESpedro1,1.125
Trigoniodendron spiritusanctense,1,0.888888889,ESpedro1,1.125
Vatairea heteroptera,2,1.777777778,ESpedro1,1.125
Virola bicuhyba,1,0.888888889,ESpedro1,1.125
Virola gardneri,44,39.11111111,ESpedro1,1.125
Vitex megapotamica,3,2.666666667,ESpedro1,1.125
