"SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file","U"
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.00327691
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.00323777
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.0030628
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.00283227
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.00330061
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.00290697
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.00283623
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.0030628
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.00284282
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.00282614
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.00286177
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.0028262
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.00300024
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.00268962
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.00262287
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.00286177
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.00310291
"MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace",2,2.45959483971641,0.624144688946216,"ref257_MG_348.txt",0.00279683
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.00107359
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.00116117
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.000978802
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.00103368
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.000902065
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.000940883
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.000968467
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.00108965
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.000960854
"PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace",2,3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt",0.00093987
"MGvico1",0.23259121186371,1825,93,1825,0.99,"1oT","laplace",2,2.34082294392261,0.603747706663905,"ref224_MG_307.txt",0.00187257
"MGvico1",0.23259121186371,1825,93,1825,0.99,"1oT","laplace",2,2.34082294392261,0.603747706663905,"ref224_MG_307.txt",0.00193993
"MGvico1",0.23259121186371,1825,93,1825,0.99,"1oT","laplace",2,2.34082294392261,0.603747706663905,"ref224_MG_307.txt",0.00191766
"MGvico1",0.23259121186371,1825,93,1825,0.99,"1oT","laplace",2,2.34082294392261,0.603747706663905,"ref224_MG_307.txt",0.00202804
"MGvico1",0.23259121186371,1825,93,1825,0.99,"1oT","laplace",2,2.34082294392261,0.603747706663905,"ref224_MG_307.txt",0.00169127
"MGvico1",0.23259121186371,1825,93,1825,0.99,"1oT","laplace",2,2.34082294392261,0.603747706663905,"ref224_MG_307.txt",0.00187828
