SiteCode,p,k,Ntotal,S_obs,DA,d,U_med,J_M,L,m,m_,ratio_J_JM
PRanto5,0.904052991381646,0.3,1762,128,1762,3.83099867261691,0.007773455,2730237.7919211523,100,0.05344467526100196,0.04856585730074835,6.45365032018019e-4
PRanto6,0.907041789373292,0.3,1672,132,1672,3.923139460598,0.008993835,2599346.9533654223,100,0.054712019161222536,0.04987977286330141,6.432384864341526e-4
PRanto7,0.896132461103336,0.3,1983,83,1983,3.62948360146041,0.003123999,3045759.4877837924,100,0.050669991775297074,0.045647264495959024,6.510691365991292e-4
PRanto8,0.963077430034025,0.3,1524,144,1524,4.10688907920214,0.01184237,2515630.5165792233,100,0.057236855454252625,0.0552402646620692,6.058123360947094e-4
PRanto9,0.940862084770845,0.3,1604,140,1604,4.02637513172871,0.009889342,2586610.366017395,100,0.05613095834985479,0.05298738039927199,6.201165900644245e-4
PRanto10,0.935790101690086,0.3,1967,137,1967,3.60506588806451,0.007358614,3154884.6808966193,100,0.050333505718630045,0.04725431810423485,6.234776224660541e-4
PRanto11,0.941077571652564,0.3,1746,102,1746,3.83212537650333,0.00474054,2816244.423483012,100,0.05346017755658908,0.05046915207983055,6.199745964665316e-4
PRanto12,0.956083671010842,0.3,1471,155,1471,4.18392200947947,0.01318083,2410511.767254408,100,0.05829433232810114,0.05587730924637839,6.102438577495436e-4
PRanto13,0.941618186926423,0.3,1685,133,1685,3.91232067152942,0.008670378,2719414.6044145343,100,0.05456325688845137,0.05154194197636201,6.196186478018733e-4
PRanto14,0.949015576583043,0.3,2134,73,2134,3.47368105398408,0.003157684,3471110.4901243416,100,0.04852194557578714,0.04616228133663836,6.147888423809742e-4
PRanto15,0.921997528960791,0.3,1658,143,1658,3.94415185662161,0.01027571,2620082.494895003,100,0.05500091378352844,0.05092920343347138,6.328045026179386e-4
SCside4,0.563868001301749,0.3,1423,143,1423,4.25224410518687,0.01736761,1375254.3649043604,100,0.05923173384425814,0.03428454709192105,0.00103471767573627
SPcana1,0.904674464613452,0.3,2311,162,1925.83333333333,3.67243166615808,0.007831613,2986150.6488728817,109.54451150103331,0.04684894084610827,0.042573168004336845,7.739060321261031e-4
MGuberl5,0.897444850913581,0.3,958,69,958,5.21572183762217,0.008114952,1473580.8244516237,100,0.07240125788881642,0.0654622009068063,6.501170374258289e-4
SCsjo1,0.414187734753475,0.3,1470,80,1441.17647058824,4.24894513408302,0.007777674,1023092.9200895691,100.99504938362061,0.05861215530009426,0.025139622871184368,0.0014368196388958546
PRtiba1,0.168194965603502,0.3,1493,127,1493,4.17102607267721,0.01222285,430401.208765947,100,0.058117343484971225,0.010271597210937766,0.0034688564288208033
PRsapo,0.412833295700075,0.3,1482,124,1482,4.16554277041187,0.014070909999999999,1048633.197648185,100,0.05804208347700999,0.024807141388202725,0.0014132682460594851
PRdiam4,0.238517200234214,0.3,1487,73,1239.16666666667,4.53727806233721,0.0047403869999999996,506582.41211956425,109.54451150103309,0.057718220732857296,0.014399674741551441,0.002935356546979835
PRtele,0.720622255888005,0.3,1041,108,1041,4.96340260552503,0.01245063,1285757.5482915791,100,0.06896134453125931,0.05067132686977447,8.096394233758961e-4
SCserra4,0.393410110559205,0.3,1457,56,1457,4.2060161768431,0.00309533,982439.3543380382,100,0.05859752260452804,0.023902462876171367,0.0014830431960675251
SPpesmU,0.822512011752552,0.3,2182,132,2182,3.43072979660696,0.005901771,3076080.3644815474,100,0.047929350725124185,0.0397607064055851,7.093442763052653e-4
