"SiteCode"	"kernel_percentil"	"par.value"	"par.class"	"par.method"	"GOF"	"p"	"J"	"S"
"202"	"ESsoor"	"0.99"	12770.9079844941	"theta"	"E05"	100	1	1468	226
"203"	"ESsoor"	"0.99"	0.0059624793483958	"m"	"CL"	100	1	1468	226
"204"	"ESsoor"	"0.99"	0.00310133397050476	"m"	"CaCL"	100	1	1468	226
"205"	"ESsoor"	"campo_medio"	5.79741435128253e-05	"U"	"H01"	100	1	1468	226
"206"	"ESsoor"	"campo_medio"	0.000115935002510298	"U"	"E05"	100	1	1468	226
"207"	"ESsoor"	"campo_medio"	66.2353690714416	"sd_k"	"CL"	100	1	1468	226
"208"	"ESsoor"	"campo_medio"	207.787669950497	"sd_k"	"CaCL"	100	1	1468	226
"209"	"MGarap1"	"0.25"	5116.90185184459	"theta"	"H01"	66	0.728749442631224	2080	92
"210"	"MGarap1"	"0.25"	2567.11338824647	"theta"	"E05"	66	0.728749442631224	2080	92
"211"	"MGarap1"	"0.25"	0.036219990843372	"m"	"CL"	66	0.728749442631224	2080	92
"212"	"MGarap1"	"0.25"	0.114443579494483	"m"	"CaCL"	66	0.728749442631224	2080	92
"213"	"MGarap1"	"0.5"	6223.41681594975	"theta"	"H01"	53	0.728749442631224	2080	92
"214"	"MGarap1"	"0.5"	3124.53269930193	"theta"	"E05"	53	0.728749442631224	2080	92
"215"	"MGarap1"	"0.5"	0.0206486495164645	"m"	"CL"	53	0.728749442631224	2080	92
"216"	"MGarap1"	"0.5"	0.0371944435744639	"m"	"CaCL"	53	0.728749442631224	2080	92
"217"	"MGarap1"	"0.55"	6955.0671477623	"theta"	"H01"	55	0.728749442631224	2080	92
"218"	"MGarap1"	"0.55"	3493.55877468196	"theta"	"E05"	55	0.728749442631224	2080	92
"219"	"MGarap1"	"0.55"	0.0188371401364216	"m"	"CL"	55	0.728749442631224	2080	92
"220"	"MGarap1"	"0.55"	0.0309545644713428	"m"	"CaCL"	55	0.728749442631224	2080	92
"221"	"MGarap1"	"0.6"	6482.3713424938	"theta"	"H01"	47	0.728749442631224	2080	92
"222"	"MGarap1"	"0.6"	3255.10196194302	"theta"	"E05"	47	0.728749442631224	2080	92
"223"	"MGarap1"	"0.6"	0.0171024053667519	"m"	"CL"	47	0.728749442631224	2080	92
"224"	"MGarap1"	"0.6"	0.0255157978386153	"m"	"CaCL"	47	0.728749442631224	2080	92
"225"	"MGarap1"	"0.65"	6514.71848975376	"theta"	"H01"	45	0.728749442631224	2080	92
"226"	"MGarap1"	"0.65"	3271.41508994281	"theta"	"E05"	45	0.728749442631224	2080	92
"227"	"MGarap1"	"0.65"	0.0155730058991175	"m"	"CL"	45	0.728749442631224	2080	92
"228"	"MGarap1"	"0.65"	0.0211562970783578	"m"	"CaCL"	45	0.728749442631224	2080	92
"229"	"MGarap1"	"0.7"	6254.9954531975	"theta"	"H01"	38	0.728749442631224	2080	92
"230"	"MGarap1"	"0.7"	3140.45278525851	"theta"	"E05"	38	0.728749442631224	2080	92
"231"	"MGarap1"	"0.7"	0.0142246779730436	"m"	"CL"	38	0.728749442631224	2080	92
"232"	"MGarap1"	"0.7"	0.0176514199410195	"m"	"CaCL"	38	0.728749442631224	2080	92
"233"	"MGarap1"	"0.75"	6132.19452591922	"theta"	"H01"	44	0.728749442631224	2080	92
"234"	"MGarap1"	"0.75"	3078.54754309616	"theta"	"E05"	44	0.728749442631224	2080	92
"235"	"MGarap1"	"0.75"	0.0128057044368959	"m"	"CL"	44	0.728749442631224	2080	92
"236"	"MGarap1"	"0.75"	0.014305456076504	"m"	"CaCL"	44	0.728749442631224	2080	92
"237"	"MGarap1"	"0.8"	6333.16671520984	"theta"	"H01"	49	0.728749442631224	2080	92
"238"	"MGarap1"	"0.8"	3179.86498931109	"theta"	"E05"	49	0.728749442631224	2080	92
"239"	"MGarap1"	"0.8"	0.0114683348366157	"m"	"CL"	49	0.728749442631224	2080	92
"240"	"MGarap1"	"0.8"	0.0114734886232504	"m"	"CaCL"	49	0.728749442631224	2080	92
"241"	"MGarap1"	"0.85"	6814.68598552989	"theta"	"H01"	53	0.728749442631224	2080	92
"242"	"MGarap1"	"0.85"	3422.72629402931	"theta"	"E05"	53	0.728749442631224	2080	92
"243"	"MGarap1"	"0.85"	0.0102124416663292	"m"	"CL"	53	0.728749442631224	2080	92
"244"	"MGarap1"	"0.85"	0.00909816771373256	"m"	"CaCL"	53	0.728749442631224	2080	92
"245"	"MGarap1"	"0.9"	6489.63353473946	"theta"	"H01"	43	0.728749442631224	2080	92
"246"	"MGarap1"	"0.9"	3258.76432826349	"theta"	"E05"	43	0.728749442631224	2080	92
"247"	"MGarap1"	"0.9"	0.00878428595134589	"m"	"CL"	43	0.728749442631224	2080	92
"248"	"MGarap1"	"0.9"	0.00673143551995436	"m"	"CaCL"	43	0.728749442631224	2080	92
"249"	"MGarap1"	"0.95"	6190.05863086307	"theta"	"H01"	45	0.728749442631224	2080	92
"250"	"MGarap1"	"0.95"	3107.71619371149	"theta"	"E05"	45	0.728749442631224	2080	92
"251"	"MGarap1"	"0.95"	0.00714517932277297	"m"	"CL"	45	0.728749442631224	2080	92
"252"	"MGarap1"	"0.95"	0.00445370068059755	"m"	"CaCL"	45	0.728749442631224	2080	92
"253"	"MGarap1"	"0.99"	3590.62429378607	"theta"	"H01"	59	0.728749442631224	2080	92
"254"	"MGarap1"	"0.99"	1799.57260568138	"theta"	"E05"	59	0.728749442631224	2080	92
"255"	"MGarap1"	"0.99"	0.00504288231631571	"m"	"CL"	59	0.728749442631224	2080	92
"256"	"MGarap1"	"0.99"	0.00221846421246496	"m"	"CaCL"	59	0.728749442631224	2080	92
"257"	"MGarap1"	"campo_medio"	1.28996121310819e-05	"U"	"H01"	94	0.728749442631224	2080	92
"258"	"MGarap1"	"campo_medio"	2.57985927180841e-05	"U"	"E05"	94	0.728749442631224	2080	92
"259"	"MGarap1"	"campo_medio"	110.960264428475	"sd_k"	"CL"	94	0.728749442631224	2080	92
"260"	"MGarap1"	"campo_medio"	70268.1982399902	"sd_k"	"CaCL"	94	0.728749442631224	2080	92
"261"	"MGperd1"	"0.25"	7665.71579828549	"theta"	"H01"	99	0.806018045548929	2965	127
"262"	"MGperd1"	"0.25"	3847.6642753984	"theta"	"E05"	99	0.806018045548929	2965	127
"263"	"MGperd1"	"0.25"	0.0303045651680404	"m"	"CL"	99	0.806018045548929	2965	127
"264"	"MGperd1"	"0.25"	0.0877609866676662	"m"	"CaCL"	99	0.806018045548929	2965	127
"265"	"MGperd1"	"0.5"	8671.14088468739	"theta"	"H01"	100	0.806018045548929	2965	127
"266"	"MGperd1"	"0.5"	4354.52567572169	"theta"	"E05"	100	0.806018045548929	2965	127
"267"	"MGperd1"	"0.5"	0.0172914383545117	"m"	"CL"	100	0.806018045548929	2965	127
"268"	"MGperd1"	"0.5"	0.028572459448636	"m"	"CaCL"	100	0.806018045548929	2965	127
"269"	"MGperd1"	"0.55"	9097.51286442382	"theta"	"H01"	100	0.806018045548929	2965	127
"270"	"MGperd1"	"0.55"	4569.62631927749	"theta"	"E05"	100	0.806018045548929	2965	127
"271"	"MGperd1"	"0.55"	0.0157994727732906	"m"	"CL"	100	0.806018045548929	2965	127
"272"	"MGperd1"	"0.55"	0.023854514020586	"m"	"CaCL"	100	0.806018045548929	2965	127
