SiteCode,k,MN,U,GOF,p,d,m_,I,J,S,DA,S_m,S_sd,KS.D_mean,KS.D_sd,KS.p_mean,KS.p_sd
BAuruc,0.25,EI,0.01919674,0,0.769444718591026,3.0752921636509263,0.106186196011181,211.82262641616586,1784,230,1784,467.18,14.163817895388846,0.18169382492903804,0.017671629431796183,3.1253125063857354e-4,6.553363288762017e-4
ESsoor,0.99,EI,0.01710153,7,1,0.46829203295252764,0.00310133397050476,4.563810836312095,1468,226,1468,27.61,4.869810109752794,0.4055379679163687,0.0806694892117418,0.011453182484716558,0.0342616523407978
ESsoor,0.95,EI,0.03160253,0,1,0.6695747034274785,0.00634034767305842,9.360639746813751,1468,226,1468,47.44,5.3998129410174744,0.3392817074483582,0.05720652342291543,0.0019128651899059535,0.00454564078633109
ESsoor,0.9,EI,0.03135496,5,1,0.822932839564678,0.0095773152860674,14.18578324336237,1468,226,1468,66.03,7.565812259864446,0.2733808594621031,0.05428236896349247,0.011687174607134247,0.03220230920764543
ESsoor,0.85,EI,0.03097963,8,1,0.9492429467507272,0.0127429434412154,18.935188058744348,1468,226,1468,83.22,8.640496618724054,0.23653027523092135,0.04696479477239419,0.01221549465980088,0.024909192626457986
ESsoor,0.8,EI,0.03120466,14,1,1.073527774647067,0.0162982722496992,24.30570641061011,1468,226,1468,100.53,8.145712139685902,0.20816770216683053,0.037106567293452464,0.018442474866006295,0.030127171671687793
ESsoor,0.75,EI,0.03056559,22,1,1.1963474835440722,0.0202408934472465,30.30682796262616,1468,226,1468,117.45,10.862199304808108,0.18070674338944703,0.03455770421455709,0.03508366986695272,0.04924892710799656
ESsoor,0.7,EI,0.03197059,54,1,1.3219465068948464,0.0247139839920507,37.174135506155835,1468,226,1468,137.38,10.118270303732448,0.14917071111072835,0.03264809942595074,0.09358767658886083,0.10723269223339063
ESsoor,0.65,EI,0.03020272,79,1,1.4574810045630866,0.0300414440248708,45.43575404639813,1468,226,1468,158.63,9.678315864849527,0.12338928048056416,0.028352390257126645,0.1851422708162108,0.17540378592000844
ESsoor,0.6,EI,0.02646914,91,1,1.6013133640401955,0.0362633276624913,55.200038773915466,1468,226,1468,183.68,11.540775318387194,0.10334851316839884,0.021333580300171188,0.285311379214772,0.18703887361477048
ESsoor,0.55,EI,0.02938896,97,1,1.7516696458087428,0.0433929730230977,66.5450802991241,1468,226,1468,206.96,11.326129617888546,0.08378398915491297,0.02193011802653402,0.483715383296811,0.26054770926970244
ESsoor,0.5,EI,0.02723905,94,1,1.928230038400287,0.0525814654860208,81.41809248809282,1468,226,1468,239.44,12.56443594058446,0.0894321400651581,0.024341629235615045,0.3818505973631352,0.2883969105554394
ESsoor,0.25,EI,0.02523688,0,1,3.384701652706541,0.162015208772412,283.6284306794513,1468,226,1468,510.64,15.241172308367007,0.2222134754603608,0.01903272627528159,5.305182015069576e-6,1.8028437766411385e-5
MGarap1,0.99,EI,0.0023688,37,0.728749442631224,0.39606705094638267,0.00161767801169197,3.3686018995306206,2080,92,2080,21.86,4.415354293298959,0.36336573587212423,0.0965121782840974,0.07552543030346269,0.12078018890861394
MGarap1,0.95,EI,0.004083694,43,0.728749442631224,0.561181071725131,0.00324955757772912,6.7778552349382855,2080,92,2080,39.71,5.635914775219313,0.26340914958828804,0.06532400304962074,0.11577657901036968,0.173962050912529
MGarap1,0.9,EI,0.004281329,71,0.728749442631224,0.6899162052945067,0.00491450330255638,10.267713075835609,2080,92,2080,55.4,7.0007214635422415,0.21188026493864742,0.053980740602790796,0.17029131981192308,0.19223264839995058
MGarap1,0.85,EI,0.004495772,71,0.728749442631224,0.802083292853853,0.00664668789884115,13.910925723357872,2080,92,2080,68.3,6.979768743817497,0.18887430680780012,0.053372714152926604,0.21918188313009124,0.2263857188593213
MGarap1,0.8,EI,0.004178105,90,0.728749442631224,0.9007209117904962,0.00838740162824625,17.584899600667132,2080,92,2080,83.24,8.321955869562725,0.15765232193427609,0.03753438514077595,0.30186867900594844,0.24281466244669805
MGarap1,0.75,EI,0.00404552,94,0.728749442631224,1.005757674574858,0.0104657038717215,21.988321611935692,2080,92,2080,98.98,8.045301031463563,0.14200340287454016,0.03815821232387563,0.3650915665950524,0.27036534139770846
MGarap1,0.7,EI,0.004126534,96,0.728749442631224,1.1172035954948556,0.0129253484627457,27.22367493907234,2080,92,2080,117.77,8.97454874924223,0.11197276841291948,0.03902701658160217,0.5716123279591888,0.3142798136884063
MGarap1,0.65,EI,0.004297878,100,0.728749442631224,1.2231010231744526,0.0155066269229366,32.746058281757136,2080,92,2080,135.31,10.102199980422304,0.09703632832794849,0.02716914289465396,0.671056579831522,0.2597884393414729
MGarap1,0.6,EI,0.004276538,100,0.728749442631224,1.3432197764725589,0.0187242170244387,39.67044521955511,2080,92,2080,156.48,10.929969918725417,0.08906442122582445,0.02037641829389702,0.7409338925769988,0.21118900084992676
MGarap1,0.55,EI,0.004588384,100,0.728749442631224,1.4794655266805867,0.0227491334042623,48.39642507784664,2080,92,2080,176.37,10.724893161861027,0.0874670326636735,0.008626534920762907,0.7393532722217314,0.10696747790418751
MGarap1,0.5,EI,0.004105701,100,0.728749442631224,1.6217411406868802,0.0273816842068703,58.5291481167123,2080,92,2080,204.22,11.83265469671608,0.09891923085255423,0.008883379643387033,0.568331062691119,0.11551924014008544
