"","Site","k","MN","GOF","U","S","p","m_","J","DA","S_m","S_sd"
"163","MSdour","0.7","EE",100,0.007696668,74,0.116734787274334,0.00433224343478223,1016,1016,75.81,7.38233627579297
"164","MSdour","0.65","EE",100,0.007784726,74,0.116734787274334,0.00528146993107601,1016,1016,77.16,7.91459462517242
"165","MSdour","0.6","EE",98,0.007318171,74,0.116734787274334,0.0063751148373694,1016,1016,73.71,7.32409197322939
"166","MSdour","0.55","EE",100,0.007078159,74,0.116734787274334,0.00781791716869075,1016,1016,71.21,7.29230256967419
"167","MSdour","0.5","EE",100,0.007495516,74,0.116734787274334,0.00947992455525193,1016,1016,75.01,7.24672688218968
"168","MSdour","0.25","EE",92,0.007262443,74,0.116734787274334,0.0346006501578626,1016,1016,70.68,7.91479882271435
"169","PEalia","0.99","EE",100,0.01312454,60,0.114091406447269,0.000900100347994352,595,595,60,6.45105895308372
"170","PEalia","0.95","EE",100,0.01293331,60,0.114091406447269,0.00181071405160128,595,595,59.54,5.77248786586998
"171","PEalia","0.9","EE",100,0.0131603,60,0.114091406447269,0.00275764133090524,595,595,60.28,6.90495357250024
"172","PEalia","0.85","EE",100,0.01332542,60,0.114091406447269,0.00369441014035602,595,595,59.92,6.31125337725552
"173","PEalia","0.8","EE",100,0.01608925,60,0.114091406447269,0.00479356393026971,595,595,62.83,6.49794839417284
"174","PEalia","0.75","EE",100,0.01585013,60,0.114091406447269,0.00597990006351626,595,595,62.18,6.52327611811207
"175","PEalia","0.7","EE",100,0.01464105,60,0.114091406447269,0.00738519598319136,595,595,57.56,6.82289668629968
"176","PEalia","0.65","EE",100,0.01459772,60,0.114091406447269,0.00904087857489184,595,595,58.94,6.49447317479885
"177","PEalia","0.6","EE",97,0.01776533,60,0.114091406447269,0.0111501342158548,595,595,62.62,6.26482887300849
"178","PEalia","0.55","EE",98,0.01804492,60,0.114091406447269,0.0135521449245768,595,595,64.54,6.6430186639582
"179","PEalia","0.5","EE",97,0.01799061,60,0.114091406447269,0.0168348364325847,595,595,63.12,7.01697796761396
"180","PEalia","0.25","EE",90,0.01679096,60,0.114091406447269,0.0698788451436423,595,595,56.1,6.82316316348624
"181","PEmata2","0.99","EE",85,0.007251995,75,0.21628955738904,0.000924945262654638,1076,1076,75.05,6.37446769415599
"182","PEmata2","0.95","EE",72,0.007069247,75,0.21628955738904,0.00193032019211664,1076,1076,73.1,7.48533920609501
"183","PEmata2","0.9","EE",78,0.007203475,75,0.21628955738904,0.00284936169318681,1076,1076,74.76,7.18460756468896
"184","PEmata2","0.85","EE",74,0.00667446,75,0.21628955738904,0.00383095687458279,1076,1076,71.48,6.32532188664711
"185","PEmata2","0.8","EE",78,0.00711971,75,0.21628955738904,0.00484080743655634,1076,1076,74.87,6.79520775877003
"186","PEmata2","0.75","EE",80,0.007202114,75,0.21628955738904,0.00605465328007326,1076,1076,75.13,7.288644828385
"187","PEmata2","0.7","EE",98,0.008174298,75,0.21628955738904,0.00748325132181966,1076,1076,74.51,7.01296778630254
"188","PEmata2","0.65","EE",98,0.008498407,75,0.21628955738904,0.00916639151910459,1076,1076,77.9,7.50286140701861
"189","PEmata2","0.6","EE",95,0.008507147,75,0.21628955738904,0.0110777990333661,1076,1076,77.86,7.3498711594562
"190","PEmata2","0.55","EE",95,0.008481998,75,0.21628955738904,0.0134596697584735,1076,1076,76.86,8.24133459820653
"191","PEmata2","0.5","EE",94,0.008219256,75,0.21628955738904,0.0165242887994393,1076,1076,74.58,7.40349357882596
"192","PEmata2","0.25","EE",100,0.009127734,75,0.21628955738904,0.0582818295486001,1076,1076,76.1,6.91141640821017
"193","PEsvfer","0.99","EE",100,0.007634016,91,0.636673590338369,0.00227628556118881,1288,1288,87.65,6.89660288208124
"194","PEsvfer","0.95","EE",100,0.007708854,91,0.636673590338369,0.0046407961362357,1288,1288,88.68,7.10651998256715
"195","PEsvfer","0.9","EE",100,0.008002487,91,0.636673590338369,0.00694677207805989,1288,1288,92.13,8.41313907473953
"196","PEsvfer","0.85","EE",100,0.007381095,91,0.636673590338369,0.00942639259226585,1288,1288,87.1,6.71271972158871
"197","PEsvfer","0.8","EE",100,0.007601071,91,0.636673590338369,0.0120350054822226,1288,1288,88.02,7.49946799459936
"198","PEsvfer","0.75","EE",100,0.007693188,91,0.636673590338369,0.0147538983490645,1288,1288,88.93,7.31989816123893
"199","PEsvfer","0.7","EE",100,0.00786774,91,0.636673590338369,0.0182071977933047,1288,1288,90.85,7.82817367144489
"200","PEsvfer","0.65","EE",99,0.007660924,91,0.636673590338369,0.0218879267915827,1288,1288,88.9,8.00315594315799
"201","PEsvfer","0.6","EE",100,0.007902782,91,0.636673590338369,0.0263693704096934,1288,1288,91.4,8.09913326202005
"202","PEsvfer","0.55","EE",100,0.00829563,91,0.636673590338369,0.0321590866989232,1288,1288,94.02,8.89328426682208
"203","PEsvfer","0.5","EE",100,0.008133692,91,0.636673590338369,0.0394288439460465,1288,1288,92.18,6.84958156946595
"204","PEsvfer","0.25","EE",66,0.008663558,91,0.636673590338369,0.126064784068525,1288,1288,91.46,8.0846781136926
"205","PRanto10","0.99","EE",26,0.004817102,132,0.923024383580357,0.00232035235251613,1877,1877,134.63,10.490645183383
"206","PRanto10","0.95","EE",32,0.008967167,132,0.923024383580357,0.0045988434743316,1877,1877,133.77,9.50476223008788
"207","PRanto10","0.9","EE",32,0.00900122,132,0.923024383580357,0.00682603641619216,1877,1877,133.31,8.94279801648435
"208","PRanto10","0.85","EE",31,0.00861658,132,0.923024383580357,0.00925503298560152,1877,1877,129.97,8.57345562851651
"209","PRanto10","0.8","EE",27,0.008996096,132,0.923024383580357,0.0117932039783234,1877,1877,131.93,10.8313564629867
"210","PRanto10","0.75","EE",27,0.00881231,132,0.923024383580357,0.0148107486297718,1877,1877,131.72,9.8771034072329
"211","PRanto10","0.7","EE",30,0.009296236,132,0.923024383580357,0.0179004880679269,1877,1877,136.79,9.74761820169731
"212","PRanto10","0.65","EE",27,0.009167942,132,0.923024383580357,0.0216312647188929,1877,1877,133.52,10.5250830750818
"213","PRanto10","0.6","EE",24,0.008873388,132,0.923024383580357,0.0262061031068987,1877,1877,131.42,9.11894464919881
"214","PRanto10","0.55","EE",42,0.008316274,132,0.923024383580357,0.0317685539234894,1877,1877,135.43,9.16983967122433
"215","PRanto10","0.5","EE",42,0.008012732,132,0.923024383580357,0.0380196236243756,1877,1877,134.58,8.07062262126966
"216","PRanto10","0.25","EE",40,0.006134134,132,0.923024383580357,0.117177277252882,1877,1877,128.21,10.8416471595101
